timestamp,datetime,open,high,low,close,volume
1767387600000,2026-01-03 00:30:00,3117.79,3132,3116.31,3130.96,4499.46112
1767391200000,2026-01-03 01:30:00,3130.96,3145.6,3128.07,3133.7,5469.17166
1767394800000,2026-01-03 02:30:00,3133.7,3135.69,3120.39,3125.47,3438.60362
1767398400000,2026-01-03 03:30:00,3125.47,3136.72,3122.29,3131,4102.8521
1767402000000,2026-01-03 04:30:00,3131,3132.03,3123.37,3130.82,2753.09386
1767405600000,2026-01-03 05:30:00,3130.82,3130.82,3120.13,3126.29,5590.64894
1767409200000,2026-01-03 06:30:00,3126.29,3127.31,3119.25,3125.58,3003.23321
1767412800000,2026-01-03 07:30:00,3125.58,3127.08,3115.44,3116.64,3365.03465
1767416400000,2026-01-03 08:30:00,3116.64,3119.09,3104.93,3112.11,4296.09772
1767420000000,2026-01-03 09:30:00,3112.11,3116.98,3098.39,3098.39,5449.0458
1767423600000,2026-01-03 10:30:00,3098.39,3104.98,3076.19,3090.47,13400.50885
1767427200000,2026-01-03 11:30:00,3090.47,3105,3084.82,3096.03,6023.54344
1767430800000,2026-01-03 12:30:00,3096.03,3110.45,3092.1,3100.88,4513.55499
1767434400000,2026-01-03 13:30:00,3100.88,3105.21,3097.04,3097.36,3117.66654
1767438000000,2026-01-03 14:30:00,3097.36,3100.22,3092.36,3098.5,3403.25947
1767441600000,2026-01-03 15:30:00,3098.5,3105.46,3093.5,3104.72,4281.24083
1767445200000,2026-01-03 16:30:00,3104.72,3107.19,3100.87,3103.02,3132.10744
1767448800000,2026-01-03 17:30:00,3103.02,3114,3101.5,3106.01,5181.04048
1767452400000,2026-01-03 18:30:00,3106.01,3107.71,3100.47,3101.42,2780.36826
1767456000000,2026-01-03 19:30:00,3101.42,3112,3098.61,3107,3221.88813
1767459600000,2026-01-03 20:30:00,3107,3110.6,3105.44,3108.52,1787.83803
1767463200000,2026-01-03 21:30:00,3108.52,3118.4,3105.04,3116.68,3021.14817
1767466800000,2026-01-03 22:30:00,3116.68,3116.68,3110.29,3113.13,1819.58987
1767470400000,2026-01-03 23:30:00,3113.13,3117.09,3107.28,3115.66,1734.98739
