timestamp,datetime,open,high,low,close,volume
1767297600000,2026-01-01 23:30:00,861.34,862,860.05,860.94,1076.9355
1767301200000,2026-01-02 00:30:00,860.94,862.75,860.72,862.34,523.6593
1767304800000,2026-01-02 01:30:00,862.34,863.77,861.18,863.3,1177.7582
1767308400000,2026-01-02 02:30:00,863.3,864.57,862.19,864.28,1014.4065
1767312000000,2026-01-02 03:30:00,864.28,864.91,861.34,864.44,1466.184
1767315600000,2026-01-02 04:30:00,864.44,864.71,861.76,862.53,871.2148
1767319200000,2026-01-02 05:30:00,862.53,863.23,859.57,863.23,1061.1168
1767322800000,2026-01-02 06:30:00,863.23,867.24,862.57,865.81,2259.379
1767326400000,2026-01-02 07:30:00,865.81,866.3,863.75,864.95,1740.4195
1767330000000,2026-01-02 08:30:00,864.95,866.99,863,865.97,1328.4895
1767333600000,2026-01-02 09:30:00,865.97,867.88,865.4,866.13,1124.6915
1767337200000,2026-01-02 10:30:00,866.13,866.8,864.41,864.78,1937.006
1767340800000,2026-01-02 11:30:00,864.78,869.4,864.74,867.96,1966.403
1767344400000,2026-01-02 12:30:00,867.96,871.94,867.49,871.25,2399.9965
1767348000000,2026-01-02 13:30:00,871.25,874.25,870.96,871.91,2794.3275
1767351600000,2026-01-02 14:30:00,871.91,871.94,867.24,869.53,1891.9086
1767355200000,2026-01-02 15:30:00,869.53,871.14,869,869.4,1001.6543
1767358800000,2026-01-02 16:30:00,869.4,872.19,868.93,870.35,1537.3944
1767362400000,2026-01-02 17:30:00,870.35,877.87,865.26,875.34,5563.597
1767366000000,2026-01-02 18:30:00,875.34,882.37,870.22,877.88,5544.9641
1767369600000,2026-01-02 19:30:00,877.88,886.93,877.45,886.47,6170.3855
1767373200000,2026-01-02 20:30:00,886.47,891.04,883.85,886.84,4990.8194
1767376800000,2026-01-02 21:30:00,886.84,888.06,879,880.62,1873.5835
1767380400000,2026-01-02 22:30:00,880.62,883.27,879.98,880.48,1068.6156
1767384000000,2026-01-02 23:30:00,880.48,883.26,878.21,879.52,885.7123
1767387600000,2026-01-03 00:30:00,879.52,882.93,879,882.49,794.8318
1767391200000,2026-01-03 01:30:00,882.49,885.29,881.9,884.99,1127.9834
1767394800000,2026-01-03 02:30:00,884.99,885.71,880.57,881.39,1033.6892
1767398400000,2026-01-03 03:30:00,881.39,884.36,880.6,881.45,1262.2439
1767402000000,2026-01-03 04:30:00,881.45,881.79,879.02,879.65,962.3526
1767405600000,2026-01-03 05:30:00,879.65,879.74,875.05,877.85,3074.4629
1767409200000,2026-01-03 06:30:00,877.85,879.32,876.99,879.21,1038.4151
1767412800000,2026-01-03 07:30:00,879.21,880,877.72,879.21,1811.9191
1767416400000,2026-01-03 08:30:00,879.21,879.41,874.22,876.53,1173.337
1767420000000,2026-01-03 09:30:00,876.53,877,872.92,874.17,2310.3766
1767423600000,2026-01-03 10:30:00,874.17,875.24,868.61,873.13,2768.3341
1767427200000,2026-01-03 11:30:00,873.13,875.55,871.56,874.21,1365.482
1767430800000,2026-01-03 12:30:00,874.21,875.76,873.63,874.67,1476.9824
1767434400000,2026-01-03 13:30:00,874.67,874.89,873.01,873.44,1030.6057
1767438000000,2026-01-03 14:30:00,873.44,874.33,872.47,874.15,1177.4152
1767441600000,2026-01-03 15:30:00,874.15,875.94,873.48,875.22,1512.0498
1767445200000,2026-01-03 16:30:00,875.22,877.51,874.94,876.91,1424.5803
1767448800000,2026-01-03 17:30:00,876.91,876.91,873.29,874.35,2870.0709
1767452400000,2026-01-03 18:30:00,874.35,875.01,872.01,873.32,1557.7406
1767456000000,2026-01-03 19:30:00,873.32,876.24,873.25,875.56,1118.5296
1767459600000,2026-01-03 20:30:00,875.56,877.17,875.04,876.65,619.9327
1767463200000,2026-01-03 21:30:00,876.65,877.16,875.16,876.8,1091.4052
1767466800000,2026-01-03 22:30:00,876.8,877.12,876.02,876.41,415.3187
1767470400000,2026-01-03 23:30:00,876.41,877.25,875.4,877.14,549.7325
1767474000000,2026-01-04 00:30:00,877.14,878.34,876.69,878.33,559.5438
