timestamp,datetime,open,high,low,close,volume
1767387600000,2026-01-03 00:30:00,1.9791,2.0213,1.9789,2.0174,4702440.11
1767391200000,2026-01-03 01:30:00,2.0174,2.0314,2.0101,2.0155,4290692.17
1767394800000,2026-01-03 02:30:00,2.0155,2.0192,2.0045,2.0068,2323853.85
1767398400000,2026-01-03 03:30:00,2.0068,2.0393,2.0066,2.0149,3720334.81
1767402000000,2026-01-03 04:30:00,2.0149,2.0322,2.012,2.0303,1698892.44
1767405600000,2026-01-03 05:30:00,2.0303,2.0307,2.0192,2.0253,1224110.92
1767409200000,2026-01-03 06:30:00,2.0253,2.0429,2.0195,2.0404,1524650.67
1767412800000,2026-01-03 07:30:00,2.0404,2.0559,2.0378,2.0488,3618204.49
1767416400000,2026-01-03 08:30:00,2.0488,2.0557,2.0285,2.0319,2923110.17
1767420000000,2026-01-03 09:30:00,2.0319,2.0361,2.0082,2.0119,2446186.84
1767423600000,2026-01-03 10:30:00,2.0119,2.0158,1.9846,1.9942,4947896.7
1767427200000,2026-01-03 11:30:00,1.9942,2.0102,1.9924,2.0077,1918288.72
1767430800000,2026-01-03 12:30:00,2.0077,2.022,2.0056,2.0139,1931910.41
1767434400000,2026-01-03 13:30:00,2.0139,2.0149,2.0038,2.0055,1432099.88
1767438000000,2026-01-03 14:30:00,2.0055,2.0058,1.9978,1.9993,1154940.23
1767441600000,2026-01-03 15:30:00,1.9993,2.0055,1.9939,2.0027,1318726.88
1767445200000,2026-01-03 16:30:00,2.0027,2.0096,2,2.0051,1245438.62
1767448800000,2026-01-03 17:30:00,2.0051,2.0187,2.0043,2.0113,1461994.74
1767452400000,2026-01-03 18:30:00,2.0113,2.0133,2.0053,2.0068,813583.28
1767456000000,2026-01-03 19:30:00,2.0068,2.011,2.0002,2.0024,979414.54
1767459600000,2026-01-03 20:30:00,2.0024,2.0049,1.9969,2.0016,899839.98
1767463200000,2026-01-03 21:30:00,2.0016,2.0115,1.9973,2.0098,1066057.33
1767466800000,2026-01-03 22:30:00,2.0098,2.0098,2.0031,2.0073,719192.71
1767470400000,2026-01-03 23:30:00,2.0073,2.0111,1.9991,2.0079,907449.57
