timestamp,datetime,open,high,low,close,volume
1767387600000,2026-01-03 00:30:00,89742,90170.27,89737.92,90072.03,260.22958739
1767391200000,2026-01-03 01:30:00,90072.03,90394.86,90026.08,90195.84,283.60617286
1767394800000,2026-01-03 02:30:00,90195.84,90198.43,89901.71,89994.74,179.37326249
1767398400000,2026-01-03 03:30:00,89994.74,90198.42,89966.02,90155.91,212.99695287
1767402000000,2026-01-03 04:30:00,90155.91,90293.33,90074.1,90282.31,171.46591179
1767405600000,2026-01-03 05:30:00,90282.31,90399,90128,90339.78,216.5982152
1767409200000,2026-01-03 06:30:00,90339.78,90376.95,90199.51,90320.76,152.05076122
1767412800000,2026-01-03 07:30:00,90320.76,90475.39,90056.57,90169.55,308.2704273
1767416400000,2026-01-03 08:30:00,90169.55,90236.83,89927.42,90031.5,179.2614802
1767420000000,2026-01-03 09:30:00,90031.5,90135.06,89848,89879.49,212.61919073
1767423600000,2026-01-03 10:30:00,89879.49,89949,89314.47,89580.29,562.61742976
1767427200000,2026-01-03 11:30:00,89580.29,89831.49,89421,89670.06,341.15566924
1767430800000,2026-01-03 12:30:00,89670.06,89986.27,89634.5,89791.55,331.9579286
1767434400000,2026-01-03 13:30:00,89791.55,89885.61,89690.94,89754.02,209.26672091
1767438000000,2026-01-03 14:30:00,89754.02,89783.73,89678.6,89755.26,119.04374831
1767441600000,2026-01-03 15:30:00,89755.26,90040,89658.63,90038.66,276.43051571
1767445200000,2026-01-03 16:30:00,90038.66,90065.28,89919.55,90005.34,213.61660136
1767448800000,2026-01-03 17:30:00,90005.34,90251.36,89960.45,90125.65,214.07335252
1767452400000,2026-01-03 18:30:00,90125.65,90125.65,89968.05,89969.21,125.07504449
1767456000000,2026-01-03 19:30:00,89969.21,90220.13,89920,90105.63,162.95026273
1767459600000,2026-01-03 20:30:00,90105.63,90128.28,90028.65,90094.37,64.02054235
1767463200000,2026-01-03 21:30:00,90094.37,90190.46,90035.05,90139.44,106.11835094
1767466800000,2026-01-03 22:30:00,90139.44,90155.73,90059.5,90124.38,68.4936596
1767470400000,2026-01-03 23:30:00,90124.38,90368.68,90020.71,90368.67,131.45139571
